filename,drop_rate,throughput,RTT,varients,cbr_rate,simulation
ex1_reno_cbr2_simulation10.tr,0.004309460291401601,77,0.07120522581342612,reno,2,simulation10
ex1_tahoe_cbr2_simulation10.tr,0.003986951794128307,88,0.0740432451391524,tahoe,2,simulation10
ex1_newreno_cbr2_simulation10.tr,0.0035665294924554186,86,0.07327049012274646,newreno,2,simulation10
ex1_vegas_cbr4_simulation10.tr,0.0,96,0.06340936972416308,vegas,4,simulation10
ex1_reno_cbr4_simulation10.tr,0.004309460291401601,77,0.07120522581342612,reno,4,simulation10
ex1_tahoe_cbr4_simulation10.tr,0.003986951794128307,88,0.0740432451391524,tahoe,4,simulation10
ex1_newreno_cbr4_simulation10.tr,0.0035665294924554186,86,0.07327049012274646,newreno,4,simulation10
ex1_vegas_cbr8_simulation10.tr,0.0,96,0.06340936972416308,vegas,8,simulation10
ex1_reno_cbr8_simulation10.tr,0.004309460291401601,77,0.07120522581342612,reno,8,simulation10
ex1_tahoe_cbr8_simulation10.tr,0.003986951794128307,88,0.0740432451391524,tahoe,8,simulation10
ex1_newreno_cbr8_simulation10.tr,0.0035665294924554186,86,0.07327049012274646,newreno,8,simulation10
