,filename,drop_rate,throughput,RTT,varients,cbr_rate,simulation
205,ex1_reno_cbr3mb_simulation10.tr,0.006167527251864601,4.583333333333333,0.0720444288799765,reno,3mb,simulation10
206,ex1_tahoe_cbr3mb_simulation10.tr,0.0052588524015425965,5.666666666666667,0.07491820667667035,tahoe,3mb,simulation10
207,ex1_newreno_cbr3mb_simulation10.tr,0.004645221228661015,5.666666666666667,0.07433352612032829,newreno,3mb,simulation10
208,ex1_vegas_cbr5mb_simulation10.tr,0.0,4.583333333333333,0.06389007693416507,vegas,5mb,simulation10
209,ex1_reno_cbr5mb_simulation10.tr,0.0073357785928642874,3.9166666666666665,0.07305906153003437,reno,5mb,simulation10
210,ex1_tahoe_cbr5mb_simulation10.tr,0.0083793902656445,3.6666666666666665,0.07292746056782441,tahoe,5mb,simulation10
211,ex1_newreno_cbr5mb_simulation10.tr,0.007183673469387755,4.0,0.07284693527803125,newreno,5mb,simulation10
212,ex1_vegas_cbr7mb_simulation10.tr,0.0,2.9166666666666665,0.0652260529801309,vegas,7mb,simulation10
213,ex1_reno_cbr7mb_simulation10.tr,0.01302660753880266,2.3333333333333335,0.07431456465656375,reno,7mb,simulation10
214,ex1_tahoe_cbr7mb_simulation10.tr,0.011404998786702257,2.6666666666666665,0.07725205577354369,tahoe,7mb,simulation10
215,ex1_newreno_cbr7mb_simulation10.tr,0.011052268017499424,2.8333333333333335,0.07704395624161113,newreno,7mb,simulation10
216,ex1_vegas_cbr8mb_simulation10.tr,0.0,2.0833333333333335,0.07282347378455893,vegas,8mb,simulation10
217,ex1_reno_cbr8mb_simulation10.tr,0.019875292283710055,1.6666666666666667,0.07483604408241501,reno,8mb,simulation10
218,ex1_tahoe_cbr8mb_simulation10.tr,0.02032810271041369,1.8333333333333333,0.07545075934887817,tahoe,8mb,simulation10
219,ex1_newreno_cbr8mb_simulation10.tr,0.016998075689544583,2.0,0.07956125508981922,newreno,8mb,simulation10
